_id,title,title_untranslated,description,release_date,language,post_image_url,backdrop_image_url,average_rating,tagline,minutes,budget,revenue,genre
1491,The Illusionist,The Illusionist,"With his eye on a lovely aristocrat, a gifted illusionist named Eisenheim uses his powers to win her away from her betrothed, a crown prince. But Eisenheim's scheme creates tumult within the monarchy and ignites the suspicion of a dogged inspector.",2006-08-18,en,https://www.themoviedb.org/t/p/w300/4I1oOPHNrHLcvz3wTMuETJLws9z.jpg,https://www.themoviedb.org/t/p/w300/goBTeGaT42cVNjXRlRVQDnEmCvI.jpg,7.3,Nothing is what it seems,110,16500000,87892388,Drama
22803,Law Abiding Citizen,Law Abiding Citizen,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.,2009-10-15,en,https://www.themoviedb.org/t/p/w300/fcEXcip7v0O1ndV4VUdFqJSqbOg.jpg,https://www.themoviedb.org/t/p/w300/ganM82DDp4QQz2qa7Xjt0sq0uz5.jpg,7.3,The System Must Pay.,109,53000000,126690726,Crime
377,A Nightmare on Elm Street,A Nightmare on Elm Street,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",1984-11-14,en,https://www.themoviedb.org/t/p/w300/wGTpGGRMZmyFCcrY2YoxVTIBlli.jpg,https://www.themoviedb.org/t/p/w300/g9ROrZey0JYp7kf8DoAyZtKnObj.jpg,7.3,"If Nancy Doesn't Wake Up Screaming, She Won't Wake Up At All!",91,1800000,57000000,Horror
5548,RoboCop,RoboCop,"In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the police force. To test their crime-eradicating cyborgs, the company leads street cop Alex Murphy into an armed confrontation with crime lord Boddicker so they can use his body to support their untested RoboCop prototype. But when RoboCop learns of the company's nefarious plans, he turns on his masters.",1987-07-17,en,https://www.themoviedb.org/t/p/w300/hHtOgGb3NihlyRATHlKPaFApbrd.jpg,https://www.themoviedb.org/t/p/w300/9hRVHqT4zfdUgfri98TcqJPS2cf.jpg,7.3,Part man. Part machine. All cop. The future of law enforcement.,102,13000000,53424681,Action
1265,Bridge to Terabithia,Bridge to Terabithia,"Jesse Aarons trained all summer to become the fastest runner in school, so he's very upset when newcomer Leslie Burke outruns him and everyone else. Despite this and other differences, including that she's rich, he's poor, and she's a city girl, he's a country boy, the two become fast friends. Together, they create Terabithia, a land of monsters, trolls, ogres, and giants and rule as king and queen.",2007-02-15,en,https://www.themoviedb.org/t/p/w300/3xFxGodKPMFLheS8rujFSmLfcq4.jpg,https://www.themoviedb.org/t/p/w300/5ZFydVjSpSUzYkPbNbz4aXqdJIx.jpg,7.3,"Close your eyes, but keep your mind wide open.",96,60000000,137587063,Adventure
338766,Hell or High Water,Hell or High Water,A divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in West Texas.,2016-08-12,en,https://www.themoviedb.org/t/p/w300/ljRRxqy2aXIkIBXLmOVifcOR021.jpg,https://www.themoviedb.org/t/p/w300/GZx3RAiTJAhXOdhLLyCAbqRl11.jpg,7.3,Blood always follows money.,102,12000000,37589296,Crime
11886,Robin Hood,Robin Hood,"With King Richard off to the Crusades, Prince John and his slithering minion, Sir Hiss, set about taxing Nottingham's citizens with support from the corrupt sheriff - and staunch opposition by the wily Robin Hood and his band of merry men.",1973-11-08,en,https://www.themoviedb.org/t/p/w300/x9AvkYek0bGdxQSZ8W3lAjGrREm.jpg,https://www.themoviedb.org/t/p/w300/sdNpfj9nwiH4tpLX3N2JXUs1zzi.jpg,7.3,Meet Robin Hood and his MERRY MENagerie!,83,5000000,32056467,Animation
1830,Lord of War,Lord of War,"Yuri Orlov is a globetrotting arms dealer and, through some of the deadliest war zones, he struggles to stay one step ahead of a relentless Interpol agent, his business rivals and even some of his customers who include many of the world's most notorious dictators. Finally, he must also face his own conscience.",2005-09-16,en,https://www.themoviedb.org/t/p/w300/xEdwdFZRwrNAvTDx0fAV3MAInaA.jpg,https://www.themoviedb.org/t/p/w300/z5LhR3cqKIL0atMcNd16s4IP2kQ.jpg,7.3,"Where there's a will, there's a weapon",122,50000000,72617068,Crime
941,Lethal Weapon,Lethal Weapon,"Veteran buttoned-down LAPD detective Roger Murtaugh is partnered with unhinged cop Martin Riggs, who -- distraught after his wife's death -- has a death wish and takes unnecessary risks with criminals at every turn. The odd couple embark on their first homicide investigation as partners, involving a young woman known to Murtaugh with ties to a drug and prostitution ring.",1987-03-06,en,https://www.themoviedb.org/t/p/w300/3HcBRxaCcQgkKGCPf7txw1DCPv1.jpg,https://www.themoviedb.org/t/p/w300/guTNnSWS3CaH71jasY8W1FMptjG.jpg,7.3,If these two can learn to stand each other... the bad guys don't stand a chance.,110,15000000,120207127,Action
1427,Perfume: The Story of a Murderer,Perfume: The Story of a Murderer,"Jean-Baptiste Grenouille, born in the stench of 18th century Paris, develops a superior olfactory sense, which he uses to create the world's finest perfumes. However, his work takes a dark turn as he tries to preserve scents in the search for the ultimate perfume.",2006-09-13,en,https://www.themoviedb.org/t/p/w300/2wrFrUej8ri5EpjgIkjKTAnr686.jpg,https://www.themoviedb.org/t/p/w300/oYRutdt0D2EdXdDWr6ZSvJv56CA.jpg,7.3,Based on the best-selling novel,147,50000000,132180323,Crime
417678,"Everything, Everything","Everything, Everything","A teenager who's lived a sheltered life because she's allergic to everything, falls for the boy who moves in next door.",2017-05-18,en,https://www.themoviedb.org/t/p/w300/c8W3Go48Mw0GoNXsGK4W9hNO4Vf.jpg,https://www.themoviedb.org/t/p/w300/sSJiJKqNcejUAQDplhWyjykLbqB.jpg,7.3,Risk everything... for love.,96,10000000,61621140,Drama
813,Airplane!,Airplane!,"The persons and events in this film are fictitious - fortunately! A masterpiece of off-the-wall comedy, Airplane! features Robert Hays as an ex-fighter pilot forced to take over the controls of an airliner when the flight crew succumbs to food poisoning; Julie Hagerty as his girlfriend/stewardess/co-pilot; and a cast of all-stars including Robert Stack, Lloyd Bridges, Peter Graves, Leslie Nielsen, Kareem Abdul-Jabbar... and more. Their hilarious high jinks spoof airplane disaster flicks, religious zealots, television commercials, romantic love... the list whirls by in rapid succession. And the story races from one moment of zany fun to the next.",1980-07-02,en,https://www.themoviedb.org/t/p/w300/7Q3efxd3AF1vQjlSxnlerSA7RzN.jpg,https://www.themoviedb.org/t/p/w300/rpp7XSFsFgaslZB5IqDDdZB9CjR.jpg,7.3,"What's slower than a speeding bullet, and able to hit two tall buildings at a single bound?",88,3500000,83453539,Comedy
205587,The Judge,The Judge,"A successful lawyer returns to his hometown for his mother's funeral only to discover that his estranged father, the town's judge, is suspected of murder.",2014-10-08,en,https://www.themoviedb.org/t/p/w300/tefUxj4Gg9hgQNgfEYd7kJQrIlD.jpg,https://www.themoviedb.org/t/p/w300/sPantp0oQ9idos7Jdwko2r6ZOIa.jpg,7.3,Defend your Honor.,141,50000000,83719388,Drama
9603,Clueless,Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",1995-07-19,en,https://www.themoviedb.org/t/p/w300/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,https://www.themoviedb.org/t/p/w300/8mhEXI4smZcsOjSVnmHf7LKCN80.jpg,7.3,Sex. Clothes. Popularity. Is there a problem here?,97,12000000,56631572,Comedy
116,Match Point,Match Point,"Match Point is Woody Allen’s satire of the British High Society and the ambition of a young tennis instructor to enter into it. Yet when he must decide between two women - one assuring him his place in high society, and the other that would take him far from it - palms start to sweat and a dark psychological match in his head begins.",2005-10-26,en,https://www.themoviedb.org/t/p/w300/vHjEVTD8ucuwKSFOZJeyAnTZYli.jpg,https://www.themoviedb.org/t/p/w300/1HEdbjJ20vXn8nW1LwPMc5lY63U.jpg,7.3,Passion Temptation Obsession.,124,15000000,85306374,Crime
2270,Stardust,Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. His journey takes him into a world beyond his wildest dreams and reveals his true identity.",2007-08-09,en,https://www.themoviedb.org/t/p/w300/AsCrevARwF6eCrF2v8zpLdn0gth.jpg,https://www.themoviedb.org/t/p/w300/yIlqDGJUY3w4xWrqBqNePkxyITM.jpg,7.3,This Summer A Star Falls. The Chase Begins.,127,70000000,135560026,Adventure
134,"O Brother, Where Art Thou?","O Brother, Where Art Thou?","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'.",2000-08-30,en,https://www.themoviedb.org/t/p/w300/2YztYilviFCYcEtDAnrOstUWGie.jpg,https://www.themoviedb.org/t/p/w300/rbsm633lnt3hKHEpk7FOt3dy82a.jpg,7.3,They have a plan... but not a clue.,107,26000000,71868327,Adventure
198277,Begin Again,Begin Again,"Gretta, a budding songwriter, finds herself alone after her boyfriend Dave ditches her. Her life gains purpose when Dan, a record label executive, notices her talent.",2013-09-07,en,https://www.themoviedb.org/t/p/w300/qx4HXHXt528hS4rwePZbZo20xqZ.jpg,https://www.themoviedb.org/t/p/w300/xrSRmL6pXnRfu9vKwayILkNgLP.jpg,7.3,You're only as strong as your next move.,104,8000000,63464861,Comedy
9426,The Fly,The Fly,"When Seth Brundle makes a huge scientific and technological breakthrough in teleportation, he decides to test it on himself. Unbeknownst to him, a common housefly manages to get inside the device and the two become one.",1986-08-15,en,https://www.themoviedb.org/t/p/w300/gRPePRMct1ttp70sYx7RZG7igee.jpg,https://www.themoviedb.org/t/p/w300/2olgnm402FuL7kQHUQwyRSj0SmD.jpg,7.3,Be afraid. Be very afraid.,96,15000000,60629159,Horror
866,Finding Neverland,Finding Neverland,"During a writing slump, playwright J.M. Barrie meets a widow and her three children—who soon become an important part of Barrie’s life and the inspiration that lead him to create his masterpiece. Peter Pan'.",2004-10-17,en,https://www.themoviedb.org/t/p/w300/A9jgLICNCEb3lvWdNaIKAG9pRdp.jpg,https://www.themoviedb.org/t/p/w300/sBsnLIrB0UdB7gBdmw5iJ9L1ltK.jpg,7.3,Where will your imagination take you?,106,25000000,116766556,Drama
6145,Fracture,Fracture,"A husband is on trial for the attempted murder of his wife, in what is seemingly an open/shut case for the ambitious district attorney trying to put him away. However, there are surprises for both around every corner, and, as a suspenseful game of cat-and-mouse is played out, each must manipulate and outwit the other.",2007-04-19,en,https://www.themoviedb.org/t/p/w300/qNen8x5gaikjIg9CFihgxYcJwQe.jpg,https://www.themoviedb.org/t/p/w300/35JeVmNWW29xVCqEWwWomPFzbya.jpg,7.3,I shot my wife... prove it.,113,10000000,91354215,Thriller
